instructor,job_ix,subject_ix,venue_ix,subject,class_num,proc_time,term_half
BD,1,1,26,40.004,CS01,4,1
BD,2,1,26,40.004,CS01,4,1
BD,3,1,26,40.004,CS02,4,1
BD,4,1,26,40.004,CS02,4,1
SS,5,2,26,40.012,CS01,4,1
SS,6,2,26,40.012,CS01,4,1
SS,7,2,33,40.012,CS02,4,1
SS,8,2,33,40.012,CS02,4,1
SS,9,2,33,40.012,LS01,2,1
PLJ,10,3,32,40.014,CS01,4,1
PLJ,11,3,32,40.014,CS01,4,1
PLJ,12,3,32,40.014,CS02,4,1
PLJ,13,3,32,40.014,CS02,4,1
SK,14,1,26,40.004,CS01,4,2
SK,15,1,26,40.004,CS01,4,2
SK,16,1,26,40.004,CS02,4,2
SK,17,1,26,40.004,CS02,4,2
DL,18,2,33,40.012,CS01,4,2
DL,19,2,33,40.012,CS01,4,2
DL,20,2,33,40.012,CS02,4,2
DL,21,2,33,40.012,CS02,4,2
DL,22,2,33,40.012,LS01,2,2
SG,23,3,30,40.014,CS01,4,2
SG,24,3,32,40.014,CS01,4,2
SG,25,3,30,40.014,CS02,4,2
SG,26,3,32,40.014,CS02,4,2
DSR,27,4,20,40.242,CS01,4,1
DSR,28,4,20,40.242,CS01,4,1
WX,29,5,17,40.302,CS01,4,1
WX,30,5,17,40.302,CS01,4,1
WX,31,5,12,40.302,CS01,2,1
LS,32,7,32,40.319,CS01,4,1
LS,33,7,6,40.319,CS01,4,1
LS,34,7,6,40.319,CS02,4,1
LS,35,7,6,40.319,CS02,4,1
LS,36,7,1,40.319,LS01,2,1
NAR,37,8,12,40.321,CS01,4,1
NAR,38,8,12,40.321,CS01,4,1
DSR,39,9,17,40.323,CS01,4,1
DSR,40,9,17,40.323,CS01,4,1
DSR,41,4,20,40.242,CS01,4,2
DSR,42,4,20,40.242,CS01,4,2
KRAM,43,6,17,40.305,CS01,4,2
KRAM,44,6,17,40.305,CS01,4,2
LN,45,7,32,40.319,CS01,4,2
LN,46,7,6,40.319,CS01,4,2
LN,47,7,6,40.319,CS02,4,2
LN,48,7,6,40.319,CS02,4,2
LN,49,7,1,40.319,LS01,2,2
NAR,50,8,12,40.321,CS01,4,2
NAR,51,8,12,40.321,CS01,4,2
DSR,52,9,17,40.323,CS01,4,2
DSR,53,9,17,40.323,CS01,4,2
(TAE) KC,54,10,17,1.104,CS01,4,1
(TAE) KC,55,10,17,1.104,CS01,4,1
(TAE) LC,56,12,21,1.107,CS01,4,1
(TAE) LC,57,12,21,1.107,CS01,4,1
(TAE) KC,58,10,17,1.104,CS01,4,2
(TAE) KC,59,10,17,1.104,CS01,4,2
(TAE) LC,60,12,21,1.107,CS01,4,2
(TAE) LC,61,12,21,1.107,CS01,4,2